hour,predicted_rides,allocated_driver_hours,drivers_allocated
0,1365.885735181672,36.396297108399814,5
1,1368.310497086434,36.46090892213334,5
2,1365.1306399435769,36.37617633993217,5
3,1370.0039447784825,36.50603365237232,5
4,1359.8053834977488,36.23427602514852,5
5,2783.207244907281,74.16318597574556,9
6,4184.737481658026,111.50929011117039,14
7,5481.720209340929,146.06955198763777,18
8,6757.045565320383,180.0527171752661,23
9,8192.10186739963,218.29217908077518,27
10,9561.019738709096,254.7692724992453,32
11,8361.34771483391,222.8020161695721,28
12,7007.083451124881,186.71539249699518,23
13,5394.098582489467,143.73472801088468,18
14,7003.816498844325,186.62833911999635,23
15,8178.275935066723,217.92376411894665,27
16,9668.81504950144,257.641657836785,32
17,11151.33530692904,297.1458757729797,37
18,12454.629701391998,331.87432250815016,41
19,11170.258278960917,297.65010983480954,37
20,9555.630022066496,254.62565453531067,32
21,8117.287081649933,216.2986146850792,27
22,5495.973450375004,146.44935330049415,18
23,2765.0847790446546,73.68028273216987,9
